168	47.713479000	host	1.2.1	0x81						27
169	47.789695000	1.2.1	host	0x81					009f72d44000	33
170	47.789756000	host	1.2.1	0x81						27
171	47.833844000	1.2.1	host	0x81					00ff702a3900	33
172	47.833884000	host	1.2.1	0x81						27
173	47.881144000	1.2.1	host	0x81					005f6dff3200	33
174	47.881187000	host	1.2.1	0x81						27
175	47.926626000	1.2.1	host	0x81					009f6caa3100	33
176	47.926665000	host	1.2.1	0x81						27
177	47.978230000	1.2.1	host	0x81					019f6caa3100	33
178	47.978319000	host	1.2.1	0x81						27
179	48.053895000	1.2.1	host	0x81					009f6caa3100	33
180	48.053945000	host	1.2.1	0x81						27
181	48.079937000	1.2.1	host	0x81					009f6caa3100	33
182	48.079998000	host	1.2.1	0x81						27
183	48.126994000	1.2.1	host	0x81					007f6caa3100	33
184	48.127140000	host	1.2.1	0x81						27
185	48.171259000	1.2.1	host	0x81					005f6caa3100	33
186	48.171296000	host	1.2.1	0x81						27
187	48.308116000	1.2.1	host	0x81					00ff6b7f3200	33
188	48.308213000	host	1.2.1	0x81						27
189	48.338842000	1.2.1	host	0x81					001f6ad43500	33
190	48.338920000	host	1.2.1	0x81						27
191	48.369472000	1.2.1	host	0x81					00ff68543d00	33
192	48.369529000	host	1.2.1	0x81						27
193	48.399034000	1.2.1	host	0x81					00bf68544400	33
194	48.399071000	host	1.2.1	0x81						27
195	48.429433000	1.2.1	host	0x81					003f697f5000	33
196	48.429471000	host	1.2.1	0x81						27
197	48.473953000	1.2.1	host	0x81					001f6aa95b00	33
198	48.473988000	host	1.2.1	0x81						27
199	48.519899000	1.2.1	host	0x81					005f6a295e00	33
200	48.519965000	host	1.2.1	0x81						27
201	48.550760000	1.2.1	host	0x81					007f6a295e00	33
202	48.550793000	host	1.2.1	0x81						27
203	48.595920000	1.2.1	host	0x81					00df6aa95e00	33
204	48.595959000	host	1.2.1	0x81						27
205	48.641785000	1.2.1	host	0x81					007f6ba95e00	33
206	48.641832000	host	1.2.1	0x81						27
207	48.673303000	1.2.1	host	0x81					00df6cd45c00	33
208	48.673366000	host	1.2.1	0x81						27
209	48.703179000	1.2.1	host	0x81					005f6eff5900	33
210	48.703217000	host	1.2.1	0x81						27
211	48.733207000	1.2.1	host	0x81					00bf6f295700	33
212	48.733252000	host	1.2.1	0x81						27
213	48.762893000	1.2.1	host	0x81					005f70d45300	33
214	48.762937000	host	1.2.1	0x81						27
215	48.793316000	1.2.1	host	0x81					00bf712a4b00	33
216	48.793355000	host	1.2.1	0x81						27
217	48.822669000	1.2.1	host	0x81					009f72d43f00	33
218	48.822708000	host	1.2.1	0x81						27
219	48.853379000	1.2.1	host	0x81					003f72d43000	33
220	48.853411000	host	1.2.1	0x81						27
221	48.883989000	1.2.1	host	0x81					001f72ff2600	33
222	48.884025000	host	1.2.1	0x81						27
223	48.914474000	1.2.1	host	0x81					00ff722a2000	33
224	48.914536000	host	1.2.1	0x81						27
225	48.944392000	1.2.1	host	0x81					00df72d51b00	33
226	48.944467000	host	1.2.1	0x81						27
227	48.989902000	1.2.1	host	0x81					001f71ff1500	33
228	48.989966000	host	1.2.1	0x81						27
229	49.036059000	1.2.1	host	0x81					00ff6faa0f00	33
230	49.036114000	host	1.2.1	0x81						27
231	49.065362000	1.2.1	host	0x81					001f6f7f0b00	33
232	49.065396000	host	1.2.1	0x81						27
233	49.097399000	1.2.1	host	0x81					00df6e550700	33
234	49.097431000	host	1.2.1	0x81						27
235	49.142901000	1.2.1	host	0x81					005f70550100	33
236	49.142968000	host	1.2.1	0x81						27
237	49.173166000	1.2.1	host	0x81					00bf70000000	33
238	49.173226000	host	1.2.1	0x81						27
239	55.041258000	1.2.1	host	0x81						27
240	55.041547000	1.2.1	host	0x81						27
