172	11.907485000	host	1.2.1		0x81			27
173	11.939028000	1.2.1	host		0x81			33
174	11.939067000	host	1.2.1		0x81			27
175	11.969133000	1.2.1	host		0x81			33
176	11.969194000	host	1.2.1		0x81			27
177	11.999480000	1.2.1	host		0x81			33
178	11.999524000	host	1.2.1		0x81			27
179	12.029046000	1.2.1	host		0x81			33
180	12.029079000	host	1.2.1		0x81			27
181	12.059225000	1.2.1	host		0x81			33
182	12.059272000	host	1.2.1		0x81			27
183	12.090101000	1.2.1	host		0x81			33
184	12.090135000	host	1.2.1		0x81			27
185	12.120177000	1.2.1	host		0x81			33
186	12.120210000	host	1.2.1		0x81			27
187	12.847356000	host	1.2.0		0x80	6	0x00	36
188	12.847486000	1.2.0	host		0x80			70
189	12.847524000	host	1.2.0		0x80	6	0x00	36
190	12.847570000	1.2.0	host		0x80			38
191	12.847597000	host	1.2.0		0x80	6	0x00	36
192	12.847642000	1.2.0	host		0x80			60
193	12.909169000	host	1.1.0		0x00		0x01	36
194	12.910660000	1.1.0	host		0x00			28
195	12.910712000	host	1.1.1		0x81			27
196	12.910759000	host	1.1.1		0x81			27
197	12.910971000	host	1.1.0		0x80	6	0x00	36
198	12.914671000	1.1.0	host		0x80			54
199	12.914746000	host	1.1.0		0x80	6	0x00	36
200	12.918668000	1.1.0	host		0x80			44
201	12.918741000	host	1.1.0		0x80	6	0x00	36
202	12.922648000	1.1.0	host		0x80			40
203	12.922859000	host	1.1.1		0x01			92
204	12.928652000	1.1.1	host		0x01			27
205	12.928721000	1.1.1	host		0x81			91
206	12.928755000	host	1.1.1		0x81			27
207	13.224468000	1.2.1	host		0x81			33
208	13.224530000	host	1.2.1		0x81			27
209	13.255596000	1.2.1	host		0x81			33
210	13.255629000	host	1.2.1		0x81			27
211	13.284900000	1.2.1	host		0x81			33
212	13.284927000	host	1.2.1		0x81			27
213	13.316166000	1.2.1	host		0x81			33
214	13.316210000	host	1.2.1		0x81			27
215	13.346845000	1.2.1	host		0x81			33
216	13.346873000	host	1.2.1		0x81			27
217	13.377035000	1.2.1	host		0x81			33
218	13.377063000	host	1.2.1		0x81			27
219	13.408612000	1.2.1	host		0x81			33
220	13.408653000	host	1.2.1		0x81			27
221	13.438103000	1.2.1	host		0x81			33
222	13.438139000	host	1.2.1		0x81			27
223	13.468917000	1.2.1	host		0x81			33
224	13.468967000	host	1.2.1		0x81			27
225	13.499312000	1.2.1	host		0x81			33
226	13.499362000	host	1.2.1		0x81			27
227	13.527099000	1.2.1	host		0x81			33
228	13.527131000	host	1.2.1		0x81			27
229	13.559293000	1.2.1	host		0x81			33
230	13.559337000	host	1.2.1		0x81			27
231	13.591166000	1.2.1	host		0x81			33
232	13.591243000	host	1.2.1		0x81			27
233	13.620865000	1.2.1	host		0x81			33
234	13.620923000	host	1.2.1		0x81			27
235	13.651445000	1.2.1	host		0x81			33
236	13.651479000	host	1.2.1		0x81			27
237	13.696911000	1.2.1	host		0x81			33
238	13.696954000	host	1.2.1		0x81			27
239	13.742396000	1.2.1	host		0x81			33
240	13.742426000	host	1.2.1		0x81			27
241	13.767003000	1.2.1	host		0x81			33
242	13.767051000	host	1.2.1		0x81			27
243	13.798870000	1.2.1	host		0x81			33
244	13.798910000	host	1.2.1		0x81			27
245	13.833283000	1.2.1	host		0x81			33
246	13.833315000	host	1.2.1		0x81			27
247	13.970332000	1.2.1	host		0x81			33
248	13.970416000	host	1.2.1		0x81			27
249	14.015238000	1.2.1	host		0x81			33
250	14.015280000	host	1.2.1		0x81			27
251	14.061451000	1.2.1	host		0x81			33
252	14.061488000	host	1.2.1		0x81			27
253	14.076683000	1.2.1	host		0x81			33
254	14.076740000	host	1.2.1		0x81			27
255	14.203739000	1.2.1	host		0x81			33
256	14.203826000	host	1.2.1		0x81			27
257	14.240329000	1.2.1	host		0x81			33
258	14.240371000	host	1.2.1		0x81			27
259	14.378673000	1.2.1	host		0x81			33
260	14.378742000	host	1.2.1		0x81			27
261	14.408536000	1.2.1	host		0x81			33
262	14.408584000	host	1.2.1		0x81			27
263	14.454394000	1.2.1	host		0x81			33
264	14.454458000	host	1.2.1		0x81			27
265	15.639282000	1.2.1	host		0x81			33
266	15.639361000	host	1.2.1		0x81			27
267	15.668468000	1.2.1	host		0x81			33
268	15.668501000	host	1.2.1		0x81			27
269	15.699155000	1.2.1	host		0x81			33
